Product_Name,Product_Price,Product_Rating
ZunVolt 1.5L Electric Kettle,425.0,4
HAVELLS Altro Electric Kettle,1399.0,4.4
Pigeon Favourite Electric Kettle,599.0,4.1
Pigeon 14913 Electric Kettle with Bottle,699.0,4.1
Pigeon Favourite Electric Kettle,899.0,4
Butterfly Rapid Kettle 1.5 Litre + Eco 750 Ml Water Bot...,849.0,4.3
Butterfly Rapid Electric Kettle,625.0,4.2
JAYPANO Kettleup Combo Set Electric Kettle,1299.0,3
Pigeon Quartz Electric Kettle,649.0,4
Flipkart SmartBuy Prime Electric Kettle,500.0,4.1
Kenstar Estella 1.6 Electric Kettle,599.0,4.2
Wipro Vesta Glass LED electric Kettle with Keep warm Fu...,1779.0,4.3
MILTON KJ-187 Electric Kettle,899.0,n/a
Prestige PKOSS Electric Kettle,699.0,4.1
Kreme KAN EK 1.5 Electric Kettle,399.0,3.9
MILTON Insta Electric Kettle,739.0,4.2
ZunVolt 1.8 L 2000 W Glass Electric Kettle,1499.0,n/a
HAVELLS Capture Multi Cooker Electric Kettle,1875.0,4.1
MILTON CELGELK003ASSR0001 Electric Kettle,899.0,4.2
Butterfly EKN Electric Kettle,749.0,4.2
"HAVELLS Aqua Plus 1.2 L Electric Kettle 1500W (Blue, Wh...",1590.0,4.4
Longway Kestro Electric Kettle,629.0,4.3
BAJAJ KTX 1.8 L DLX Electric Kettle,729.0,4.2
Prestige pkgss Electric Kettle,799.0,4.1
BAJAJ KTX 1.8 L DLX Electric Kettle,990.0,n/a
"Butterfly Rapid Electric Kettle (1.5 L, Black) & H&O 50...",849.0,4.3
HAVELLS Aqua plus 1500w Electric Kettle,1520.0,4.4
V-Guard VKG17 Electric Kettle,1599.0,4.4
Thomson Rapido Electric Kettle,899.0,4.1
Prestige Atlas Electric Kettle,749.0,4.1
HAVELLS by Havells caro Electric Kettle,1520.0,4.4
Kreme KAN EK 1.5+SLUSH BLK Electric Kettle,899.0,n/a
MILTON Insta Electric Kettle 1.5 Electric Kettle,799.0,4.1
"MILTON Go Electro Stainless Steel Electric Kettle, 1 Pi...",799.0,4.2
MILTON Insta Electric Kettle,799.0,4.2
Prestige Multi cooker PMC 1.0+ Electric Kettle,1410.0,4.1
Wipro Vesta Enhanced Cool Touch Designer Electric Kettl...,2149.0,4.3
FABER FMC 1.2 BK Cool Touch Multi Cooker Electric Kettl...,1790.0,n/a
MILTON Insta Electric Kettle,779.0,4.2
ZunVolt 1.8L Electric Kettle,449.0,4
